"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"perception_risk_pipe_record_id","px330504_phenx_perception_risk_pipe",,"text","Record ID",,"PX330504",,,,,,,,,,"",""
"instructions","px330504_phenx_perception_risk_pipe",,"descriptive","Pipe Tobacco

The next questions are about smoking tobacco in pipes. We first ask about smoking tobacco in a regular pipe. There are many different types of regular pipes. They all have a bowl that holds the tobacco and a stem.

Regular Pipe",,"PX330504",,,,,,,,,,"",""
"perception_risk_pipe_ever","px330504_phenx_perception_risk_pipe",,"radio","Have you ever seen or heard of a pipe before this study?","1, Yes|2, No|-8, DON'T KNOW|-7, REFUSED","PX330504",,,,,,,,,,"",""
"image1","px330504_phenx_perception_risk_pipe",,"descriptive","[DISPLAY GENERIC IMAGES OF PIPES]",,"PX330504",,,,,,,,,,"",""
"perception_risk_pipe_harmful","px330504_phenx_perception_risk_pipe",,"radio","Is smoking pipes filled with tobacco less harmful, about the same, or more harmful than smoking cigarettes?","1, Less harmful|2, About the same|3, More harmful|-8, DON'T KNOW|-7, REFUSED","PX330504",,,,,"[perception_risk_pipe_ever]='1'",,,,,"",""
"instructions2","px330504_phenx_perception_risk_pipe",,"descriptive","Hookah and Shisha

We next ask about smoking tobacco in a hookah, which is a type of water pipe. It is sometimes also called a ""narghile"" pipe. From now on, we will use ""hookah"" to refer to a water pipe or narghile pipe that is often used to smoke tobacco. There are many types of hookahs. People often smoke tobacco in hookahs in groups at cafes or in hookah bars.",,"PX330504",,,,,,,,,,"",""
"image2","px330504_phenx_perception_risk_pipe",,"descriptive","[DISPLAY GENERIC IMAGE OF HOOKAH]",,"PX330504",,,,,,,,,,"",""
"perception_risk_pipe_hookah_shisha_ever","px330504_phenx_perception_risk_pipe",,"radio","Have you ever seen or heard of a hookah before this study?","1, Yes|2, No|-8, DON'T KNOW|-7, REFUSED","PX330504",,,,,,,,,,"",""
"perception_risk_pipe_hookah_shisha_harmful","px330504_phenx_perception_risk_pipe",,"radio","Is smoking tobacco in a hookah less harmful, about the same, or more harmful than smoking cigarettes?","1, Less harmful|2, About the same|3, More harmful|-8, DON'T KNOW|-7, REFUSED","PX330504",,,,,"[perception_risk_pipe_hookah_shisha_ever]='1'",,,,,"",""
