"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_selfreported_tobacco_product_price_paid_cigarettes_record_id","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"text","Record ID",,"PX740801",,,,,,,,,,"",
"info_740801","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"descriptive","ASK Current users and 12-month former users

For current smokers, display ""buy"" and ""do""; For 12-month former smokers, display ""bought and ""did.""",,"PX740801",,,,,,,,,,"",""
"tobaccoprice_cigarettes_usuallybuy_manufacturedrollown","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"checkbox","When you [buy/bought] cigarettes for yourself, [do/did] you usually buy manufactured cigarettes or a pouch of tobacco to roll-your-own cigarettes? Choose all that apply.

ASK: Current users and former users 12 month","1, Manufactured cigarettes | 2, Roll-your-own tobacco (End Questions) | _8, Don't know | _7, Refused","PX740801",,,,,,,,,,"",""
"tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"radio","Do you usually buy cigarettes by the carton, pack or as single cigarettes?","1, Carton | 2, Pack | 3, Single Cigarettes | 4, Don't know | 5, Refused","PX740801",,,,,"[tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmany_packscarton","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"text","How many packs of cigarettes are in the carton you usually buy?",,"PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '1' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmany_packscarton_encoded","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"radio","How many packs of cigarettes are in the carton you usually buy?","1, Don't know | 2, Refused","PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '1' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmuch_carton","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"text","How much do you usually pay for a carton of cigarettes?",,"PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '1' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmuch_carton_encoded","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"radio","How much do you usually pay for a carton of cigarettes?","1, Don't know | 2, Refused","PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '1' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmuch_pack","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"text","How much do you usually pay for a pack of cigarettes?",,"PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '2' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmuch_pack_encoded","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"radio","How much do you usually pay for a pack of cigarettes?","1, Don't know | 2, Refused","PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '2' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmuch_single","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"text","How much do you usually pay for a single cigarette?",,"PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '3' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
"tobaccoproductprice_cigarettes_howmuch_single_encoded","px740801_phenx_selfreported_tobacco_product_price_paid_cigarettes",,"radio","How much do you usually pay for a single cigarette?","1, Don't know | 2, Refused","PX740801",,,,,"[tobaccoproductprice_cigarettes_usuallybuy_cartonpacksingle] = '3' and [tobaccoprice_cigarettes_usuallybuy_manufacturedrollown(1)] = '1'",,,,,"",""
