"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_decision_making_iowa_gambling_task_child_record_id","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Record ID",,"PX530201",,,,,,,,,,"",
"summary_530201","px530201_phenx_decision_making_iowa_gambling_task_child",,"descriptive","Summary of the Child Version of the Iowa Gambling Test™ Developed by Garon and Moore (2004)

Participants are given a starting loan of 15 pieces of candy and then instructed that the goal of the task is to win as much candy as possible by drawing cards one at a time from four separate decks. All cards reward the participant with candy, while some both give and take away candy from the participant. Two of the decks are ""disadvantageous"" resulting in an equivalent net loss in the long run, while the other two decks are ""advantageous"" resulting in an equivalent net gain over time.

To account for the developing mental capabilities of children instead of adults, the child version of the Iowa Gambling Test™ limits the length of the test to 40 card choices (instead of 100) and varies rewards and contingencies over five card blocks (instead of 10 card blocks). Additionally, the child version includes a four question awareness test at the end to determine whether the child knew what was occurring during the test (i.e., which decks are ""good"" to choose from and why, which decks are ""bad"" to choose from and why).",,"PX530201",,,,,,,,,,"",""
"participant_wants_to_play","px530201_phenx_decision_making_iowa_gambling_task_child",,"radio","Participant wants to play the game.","1 , yes|2 , no","PX530201",,,,,,,,,,"",""
"participant_understands_the_rules","px530201_phenx_decision_making_iowa_gambling_task_child",,"radio","Participant understands the rules of the game.","1 , yes|2 , no","PX530201",,,,,,,,,,"",""
"deck_chosen_card_1","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Deck card 1 was chosen from",,"PX530201","integer",1,4,,,,,,,"",""
"number_candies_won_card1","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies won with card 1.",,"PX530201","integer",0,,,,,,,,"",""
"number_candies_lost_card1","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies lost with card 1.",,"PX530201","integer",0,15,,,,,,,"",""
"deck_chosen_card_2","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Deck card 2 was chosen from",,"PX530201","integer",1,4,,,,,,,"",""
"number_candies_won_card2","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies won with card 2.",,"PX530201","integer",0,,,,,,,,"",""
"number_candies_lost_card2","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies lost with card 2.",,"PX530201","integer",0,,,,,,,,"",""
"deck_chosen_card_3","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Deck card 3 was chosen from",,"PX530201","integer",1,4,,,,,,,"",""
"number_candies_won_card3","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies won with card 3.",,"PX530201","integer",0,,,,,,,,"",""
"number_candies_lost_card3","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies lost with card 3.",,"PX530201","integer",0,,,,,,,,"",""
"deck_chosen_card_4","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Deck card 4 was chosen from",,"PX530201","integer",1,4,,,,,,,"",""
"number_candies_won_card4","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies won with card 4.",,"PX530201","integer",0,,,,,,,,"",""
"number_candies_lost_card4","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies lost with card 4.",,"PX530201","integer",0,,,,,,,,"",""
"deck_chosen_card_5","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Deck card 5 was chosen from",,"PX530201","integer",1,4,,,,,,,"",""
"number_candies_won_card5","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies won with card 5.",,"PX530201","integer",0,,,,,,,,"",""
"number_candies_lost_card5","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies lost with card 5.",,"PX530201","integer",0,,,,,,,,"",""
"deck_chosen_card_6","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Deck card 6 was chosen from",,"PX530201","integer",1,4,,,,,,,"",""
"number_candies_won_card6","px530201_phenx_decision_making_iowa_gambling_task_child",,"text","Number of candies won with card 6.",,"PX530201","integer",0,,,,,,,,"",""
