"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_media_use_record_id","px750701_phenx_media_use",,"text","Record ID",,"PX750701",,,,,,,,,,"",
"info_750701","px750701_phenx_media_use",,"descriptive","On an average day.....

If none (no hours or minutes), please enter 0 (zero).",,"PX750701",,,,,,,,,,"",""
"media_use_hours_on_tv","px750701_phenx_media_use",,"text","On an average day, how many hours do you spend - On a TV set (such as watching live TV or TV, movies, or other video (such as Netflix) through Xbox, Roku, DVR, Smart TV; playing video games)",,"PX750701","number",0,24,,,,,,,"",""
"media_use_minutes_on_tv","px750701_phenx_media_use",,"text","On an average day, how many minutes do you spend -On a TV set (such as watching live TV or TV, movies, or other video (such as Netflix) through Xbox, Roku, DVR, Smart TV; playing video games)",,"PX750701","number",0,59,,,,,,,"",""
"media_use_hours_on_computer","px750701_phenx_media_use",,"text","On an average day, how many hours do you spend - On a Desktop or Laptop Computer (such as spending time online, playing games, watching video)",,"PX750701","number",0,24,,,,,,,"",""
"media_use_minutes_on_computer","px750701_phenx_media_use",,"text","On an average day, how many minutes do you spend - On a Desktop or Laptop Computer (such as spending time online, playing games, watching video)",,"PX750701","number",0,59,,,,,,,"",""
"media_use_hours_on_mobile","px750701_phenx_media_use",,"text","On an average day, how many hours do you spend - On Your Smartphone or Tablet (such as spending time on apps, spending time online, playing games, watching video, etc.)",,"PX750701","number",0,24,,,,,,,"",""
"media_use_minutes_on_mobile","px750701_phenx_media_use",,"text","On an average day, how many minutes do you spend - On Your Smartphone or Tablet (such as spending time on apps, spending time online, playing games, watching video, etc.)",,"PX750701","number",0,59,,,,,,,"",""
"media_use_time_social_media","px750701_phenx_media_use",,"radio","On an average day, how much time do you spend on any social media site (ex: Facebook, Twitter, YouTube, Pinterest, Snapchat)?","UNDEFINED_CODE,None|UNDEFINED_CODE_1,Less than 1 hour|UNDEFINED_CODE_2,1 hour to <3 hours|UNDEFINED_CODE_3,3 hours to <6 hours|UNDEFINED_CODE_4,6 hours or more","PX750701",,,,,,,,,,"",""
