"STAR Table Name: LIVER_ADDTL_HLA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
VARIABLE NAME	DESCRIPTION	FORM	VAR START DATE	VAR END DATE	FORM SECTION	DATA TYPE	SAS ANALYSIS FORMAT	COMMENT
DA1			1987-10-01 00:00:00			NUM	ALOCUS	
DA2			1987-10-01 00:00:00			NUM	ALOCUS	
DB1			1987-10-01 00:00:00			NUM	BLOCUS	
DB2			1987-10-01 00:00:00			NUM	BLOCUS	
DBW4			1987-10-01 00:00:00			NUM	WKGRPHLA	
DBW6			1987-10-01 00:00:00			NUM	WKGRPHLA	
DC1			1987-10-01 00:00:00			NUM	CWHLA	
DC2			1987-10-01 00:00:00			NUM	CWHLA	
DDP1			1987-10-01 00:00:00			NUM	DPHLA	
DDP2			1987-10-01 00:00:00			NUM	DPHLA	
DDPA1			2015-03-31 00:00:00			NUM	DPAHLA	
DDPA2			2015-03-31 00:00:00			NUM	DPAHLA	
DDQ1			1987-10-01 00:00:00			NUM	DQHLA	
DDQ2			1987-10-01 00:00:00			NUM	DQHLA	
DDQA1			2015-03-31 00:00:00			NUM	DQAHLA	
DDQA2			2015-03-31 00:00:00			NUM	DQAHLA	
DDR1			1987-10-01 00:00:00			NUM	DRLOCUS	
DDR2			1987-10-01 00:00:00			NUM	DRLOCUS	
DDR51			1987-10-01 00:00:00			NUM	DR51HLA	
DDR51_2			2018-12-01 00:00:00			NUM	DR51HLA	
DDR52			1987-10-01 00:00:00			NUM	DR52HLA	
DDR52_2			2018-12-01 00:00:00			NUM	DR52HLA	
DDR53			1987-10-01 00:00:00			NUM	DR53HLA	
DDR53_2			2018-12-01 00:00:00			NUM	DR53HLA	
DON_TY_METH_CLASS1			1999-10-25 00:00:00			CHAR(28)	HLATYMTH	
DON_TY_METH_CLASS2			1999-10-25 00:00:00			CHAR(28)	HLATYMTH	
HLA_TY_METH_CLASS1			1999-10-25 00:00:00			CHAR(28)	HLATYMTH	
HLA_TY_METH_CLASS2			1999-10-25 00:00:00			CHAR(28)	HLATYMTH	
RA1			1987-10-01 00:00:00			NUM	ALOCUS	
RA2			1987-10-01 00:00:00			NUM	ALOCUS	
RB1			1987-10-01 00:00:00			NUM	BLOCUS	
RB2			1987-10-01 00:00:00			NUM	BLOCUS	
RBW4			1987-10-01 00:00:00			NUM	WKGRPHLA	
RBW6			1987-10-01 00:00:00			NUM	WKGRPHLA	
RCW1			1987-10-01 00:00:00			NUM	CWHLA	
RCW2			1987-10-01 00:00:00			NUM	CWHLA	
RDPA1			2016-04-20 00:00:00			NUM	DPAHLA	
RDPA2			2016-04-20 00:00:00			NUM	DPAHLA	
RDPW1			1987-10-01 00:00:00			NUM	DPHLA	
RDPW2			1987-10-01 00:00:00			NUM	DPHLA	
RDQA1			2016-04-20 00:00:00			NUM	DQAHLA	
RDQA2			2016-04-20 00:00:00			NUM	DQAHLA	
RDQW1			1987-10-01 00:00:00			NUM	DQHLA	
RDQW2			1987-10-01 00:00:00			NUM	DQHLA	
RDR1			1987-10-01 00:00:00			NUM	DRLOCUS	
RDR2			1987-10-01 00:00:00			NUM	DRLOCUS	
RDRW51			1987-10-01 00:00:00			NUM	DR51HLA	
RDRW51_2			2018-12-01 00:00:00			NUM	DR51HLA	
RDRW52			1987-10-01 00:00:00			NUM	DR52HLA	
RDRW52_2			2018-12-01 00:00:00			NUM	DR52HLA	
RDRW53			1987-10-01 00:00:00			NUM	DR53HLA	
RDRW53_2			2018-12-01 00:00:00			NUM	DR53HLA	
RT_DA1			1987-10-01 00:00:00			NUM	ALOCUS	
RT_DA2			1987-10-01 00:00:00			NUM	ALOCUS	
RT_DB1			1987-10-01 00:00:00			NUM	BLOCUS	
RT_DB2			1987-10-01 00:00:00			NUM	BLOCUS	
RT_DBW4			1987-10-01 00:00:00			NUM	WKGRPHLA	
RT_DBW6			1987-10-01 00:00:00			NUM	WKGRPHLA	
RT_DC1			1987-10-01 00:00:00			NUM	CWHLA	
RT_DC2			1987-10-01 00:00:00			NUM	CWHLA	
RT_DDP1			1987-10-01 00:00:00			NUM	DPHLA	
RT_DDP2			1987-10-01 00:00:00			NUM	DPHLA	
RT_DDPA1			2015-03-31 00:00:00			NUM	DPAHLA	
RT_DDPA2			2015-03-31 00:00:00			NUM	DPAHLA	
RT_DDQ1			1987-10-01 00:00:00			NUM	DQHLA	
RT_DDQ2			1987-10-01 00:00:00			NUM	DQHLA	
RT_DDQA1			2015-03-31 00:00:00			NUM	DQAHLA	
RT_DDQA2			2015-03-31 00:00:00			NUM	DQAHLA	
RT_DDR1			1987-10-01 00:00:00			NUM	DRLOCUS	
RT_DDR2			1987-10-01 00:00:00			NUM	DRLOCUS	
RT_DDR51			1987-10-01 00:00:00			NUM	DR51HLA	
RT_DDR51_2			2018-12-01 00:00:00			NUM	DR51HLA	
