"STAR Table Name: LIVER_ADDTL_HLA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
RT_DDR52			1987-10-01 00:00:00			NUM	DR52HLA	
RT_DDR52_2			2018-12-01 00:00:00			NUM	DR52HLA	
RT_DDR53			1987-10-01 00:00:00			NUM	DR53HLA	
RT_DDR53_2			2018-12-01 00:00:00			NUM	DR53HLA	
RT_DON_RETYP			1987-10-01 00:00:00			CHAR(1)		
RT_DON_RETYP_METH_CLASS1			1999-10-25 00:00:00			CHAR(28)	HLATYMTH	
RT_DON_RETYP_METH_CLASS2			1999-10-25 00:00:00			CHAR(28)	HLATYMTH	
SPECIFIC_HLA_ANTIBODY						CHAR(2)	YNU	
TARGET_SRC_1			1994-04-01 00:00:00			NUM	CSRCMULT	
TARGET_SRC_2			1994-04-01 00:00:00			NUM	CSRCMULT	
TRR_ID_CODE			1987-10-01 00:00:00			CHAR(15)		
