"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_externalizing_problems_record_id","px540201_phenx_externalizing_problems",,"text","Record ID",,"PX540201",,,,,,,,,,"",
"run_away_from_home_overnight","px540201_phenx_externalizing_problems",,"radio","Has run away from home overnight at least twice while living in parental or parental surrogate home (or once without returning for a lengthy period)","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_argues_with_adults","px540201_phenx_externalizing_problems",,"radio","Often argues with adults","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_lies","px540201_phenx_externalizing_problems",,"radio","Often lies to obtain goods or favors or to avoid obligations (i.e., ""cons"" others)","0, Not at all | 1, Just a little | 2, Pretty much | 3, Very much | UNDEFINED_CODE_4, Don't Know","PX540201",,,,,,,,,,"",""
"physically_cruel_to_people","px540201_phenx_externalizing_problems",,"radio","Has been physically cruel to people","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"stolen_items_without_confronting_victim","px540201_phenx_externalizing_problems",,"radio","Has stolen items of nontrivial value without confronting a victim (e.g., shoplifting, but without breaking and entering; forgery)","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_truant_from_school","px540201_phenx_externalizing_problems",,"radio","Often truant from school, beginning before age 13 years","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_spiteful_or_vindictive","px540201_phenx_externalizing_problems",,"radio","Is often spiteful or vindictive","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"blames_others_for_mistakes","px540201_phenx_externalizing_problems",,"radio","Often blames others for his or her mistakes or misbehavior","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"deliberately_destroyed_property","px540201_phenx_externalizing_problems",,"radio","Has deliberately destroyed others' property (other than by fire setting)","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"defies_adults_requests_rules","px540201_phenx_externalizing_problems",,"radio","Often actively defies or refuses to comply with adults' requests or rules","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"initiates_physical_fights","px540201_phenx_externalizing_problems",,"radio","Often initiates physical fights with others who do not live in his or her household (e.g., peers at school or in the neighborhood)","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_angry_and_resentful","px540201_phenx_externalizing_problems",,"radio","Is often angry and resentful","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"touchy_or_annoyed_by_others","px540201_phenx_externalizing_problems",,"radio","Is often touchy or easily annoyed by others","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_loses_temper","px540201_phenx_externalizing_problems",,"radio","Often loses temper","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"forced_someone_into_sexual_activity","px540201_phenx_externalizing_problems",,"radio","Has forced someone into sexual activity","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_bullies_threatens_or_intimidates","px540201_phenx_externalizing_problems",,"radio","Often bullies, threatens, or intimidates others","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"physically_cruel_to_animals","px540201_phenx_externalizing_problems",,"radio","Has been physically cruel to animals","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"stays_out_at_night","px540201_phenx_externalizing_problems",,"radio","Often stays out at night despite parental prohibitions, beginning before age 13 years","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"often_deliberately_annoys_people","px540201_phenx_externalizing_problems",,"radio","Often deliberately annoys people","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"stolen_confronting_victim","px540201_phenx_externalizing_problems",,"radio","Has stolen while confronting a victim (e.g., mugging, purse snatching, extortion, armed robbery)","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"engaged_in_fire_setting","px540201_phenx_externalizing_problems",,"radio","Has deliberately engaged in fire setting with the intention of causing serious damage","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"broken_into_house_building_car","px540201_phenx_externalizing_problems",,"radio","Has broken into someone else's house, building, or car","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
"used_weapon","px540201_phenx_externalizing_problems",,"radio","Has used a weapon that can cause serious physical harm to others (e.g., a bat, brick, broken bottle, knife, gun)","0 ,Not at all|1 ,Just a little|2 ,Pretty much|3 , Very much|UNDEFINED_CODE_4,Don't Know","PX540201",,,,,,,,,,"",""
