"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_global_mental_status_screener_adult_record_id","px130701_phenx_global_mental_status_screener_adult",,"text","Record ID",,"PX130701",,,,,,,,,,"",
"mocatest_online","px130701_phenx_global_mental_status_screener_adult",,"descriptive","Please consult www.mocatest.org for permission and requirements to use the MoCA test.",,"PX130701",,,,,,,,,,"",""
"moca_image","px130701_phenx_global_mental_status_screener_adult",,"descriptive","IMAGE",,"PX130701",,,,,,,,,,"",""
"alternate_trail_making","px130701_phenx_global_mental_status_screener_adult",,"radio","Please draw a line, going from a number to a letter in ascending order. Begin here [point to (1)] and draw a line from 1 then to A then to 2 and so on. End here [point to (E)]."",0","0,not correct|1,correct","PX130701",,,,,,,,,,"",""
"visuoconstructional_skills_cube","px130701_phenx_global_mental_status_screener_adult",,"radio","Copy this drawing as accurately as you can, in the space below","0 , not correct|1 , correct","PX130701",,,,,,,,,,"",""
"visuoconstructional_skills_clock","px130701_phenx_global_mental_status_screener_adult",,"radio","Draw a clock. Put in all the numbers and set the time to 10 after 11.","0 , not correct|1 , correct","PX130701",,,,,,,,,,"",""
"naming_camel","px130701_phenx_global_mental_status_screener_adult",,"radio","Tell me the name this animal","0 , not correct|1 , correct","PX130701",,,,,,,,,,"",""
"naming_lion","px130701_phenx_global_mental_status_screener_adult",,"radio","Tell me the name this animal","0 , not correct|1 , correct","PX130701",,,,,,,,,,"",""
"naming_rhinoceros","px130701_phenx_global_mental_status_screener_adult",,"radio","Tell me the name this animal","0 , not correct|1 , correct","PX130701",,,,,,,,,,"",""
"immediate_recall_face_trial1","px130701_phenx_global_mental_status_screener_adult",,"radio","This is a memory test. I am going to read a list of words that you will have to remember now and later on. Listen carefully. When I am through, tell me as many words as you can remember. It doesn't matter in what order you say them.  Face","UNDEFINED_CODE,correct|UNDEFINED_CODE_1,not correct","PX130701",,,,,,,,,,"",""
"immediate_recall_velvet_trial1","px130701_phenx_global_mental_status_screener_adult",,"radio","This is a memory test. I am going to read a list of words that you will have to remember now and later on. Listen carefully. When I am through, tell me as many words as you can remember. It doesn't matter in what order you say them.  Velvet","UNDEFINED_CODE,correct|UNDEFINED_CODE_1,not correct","PX130701",,,,,,,,,,"",""
"immediate_recall_church_trial1","px130701_phenx_global_mental_status_screener_adult",,"radio","This is a memory test. I am going to read a list of words that you will have to remember now and later on. Listen carefully. When I am through, tell me as many words as you can remember. It doesn't matter in what order you say them.  Church","UNDEFINED_CODE,correct|UNDEFINED_CODE_1,not correct","PX130701",,,,,,,,,,"",""
