"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phenx_selfreported_exposure_to_and_use_of_price_promotions_fo_record_id","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"text","Record ID",,"PX740401",,,,,,,,,,"",
"tobacco_pricepromotions_6months_coupongotten","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 6 months, have you gotten a discount coupon for any tobacco product? ASK: All respondents
","1, Yes | 2, No | _8, DON'T KNOW | _7, REFUSED","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_coupons_from","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"checkbox","Where did you get discount coupons from? Choose all that apply.","1, The mail | 2, E-mail | 3, The Internet | 4, Social Networks (such as Facebook and Twitter) | 5, A text message | 6, On a cigarette pack or other tobacco product | 7, From a friend or other person | 8, Some other way: SPECIFY below | 9, DON'T KNOW","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_coupons_from_otherway","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"text","SPECIFY -Where did you get discount coupons from?",,"PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_6months_emailcoupons","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 6 months, have you received an e-mail message with promotions or coupons for cigarettes or tobacco products?

ASK: All respondents","1, Yes | 2, No | _8, DON'T KNOW | _7, REFUSED","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_6months_mailcoupons","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 6 months, have you received promotions or coupons for cigarettes or tobacco products in the mail?

ASK: All respondents","1, Yes | 2, No | _8, DON'T KNOW | _7, REFUSED","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_6months_couponused","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 6 months, have you used a discount coupon to purchase a tobacco product?","1 , Yes|2 , No|_8 , DON'T KNOW|_7 , REFUSED","PX740401",,,,,"[tobacco_pricepromotions_6months_emailcoupons] = '1' or [tobacco_pricepromotions_6months_mailcoupons] = '1' or [tobacco_pricepromotions_6months_coupongotten] = '1'",,,,,"",""
"tobacco_pricepromotions_30days_buyspecialoffer","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 30 days, when you were in a store that sells tobacco, did you buy a brand of tobacco product other than your usual brand because you noticed a special price offer?

ASK: Current tobacco users who have a regular brand","1, Yes | 2, No | _8, DON'T KNOW | _7, REFUSED","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_30days_boughtalternatebrand_promotion","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 30 days, have you bought a brand of tobacco product other than your usual brand because of a promotion?

ASK: Current tobacco users who have a regular brand","1, Yes | 2, No | _8, DON'T KNOW | _7, REFUSED","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_30days_boughtalternatebrand_promotion_frequency","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 30 days, has this happened just once or twice, a few times, or quite regularly?","1 , Once or twice|2 , A few times|3 , Quite regularly|_8 , DON'T KNOW|_7 , REFUSED","PX740401",,,,,"[tobacco_pricepromotions_30days_buyspecialoffer] = '1'",,,,,"",""
"tobacco_pricepromotions_30days_boughtbecauseof_promotion","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 30 days, have you ever bought a brand of tobacco product because you noticed a promotion for it?

ASK: All respondents","1, Yes | 2, No | _8, DON'T KNOW | _7, REFUSED","PX740401",,,,,,,,,,"",""
"sweeps_ad_740401","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 6 months, have you seen a tobacco sweepstakes ad?

ASK: All respondents","1, Yes | 2, No | 3, Don't Know | 4, Refused","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_6months_seentobacco_sweepstakesad","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 6 months, have you participated in a tobacco sponsored sweepstakes?

ASK: All respondents","1, Yes | 2, No | _8, DON'T KNOW | _7, REFUSED","PX740401",,,,,,,,,,"",""
"qr_740401","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"file","A Quick Response code is a white square with black dots in it, sometimes called a QR code.",,"PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_everused_qrcode_sweepstakes","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","Have you ever used a smart phone to scan a QR code for a tobacco product or to enter a sweepstakes or drawing from a tobacco company?","1, Yes | 2, No | 3, DON'T KNOW | 4, REFUSED","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_30days_coupon_whenbuying_cigarettes","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"radio","In the past 30 days, did you use a coupon when buying cigarettes?

ASK: Current users","1, Yes | 2, No (END QUESTIONNAIRE) | 3, I did not buy cigarettes in the past 30 days (END QUESTIONNAIRE) | 4, DON'T KNOW  (END QUESTIONNAIRE) | 5, REFUSED (END QUESTIONNAIRE)","PX740401",,,,,,,,,,"",""
"tobacco_pricepromotions_howmanytimes_30days_usedcouponcigarettes_number","px740401_phenx_selfreported_exposure_to_and_use_of_price_promotions_fo",,"text","How many times in the past 30 days have you used a coupon to buy cigarettes?",,"PX740401","number",,,,"[tobacco_pricepromotions_30days_coupon_whenbuying_cigarettes] = '1'",,,,,"",""
